testing logger
TEBDEngine: subconfig 'trunc_params'=Config(<2 options>, 'trunc_params')
TEBDEngine: reading 'dt'=0.1
TEBDEngine: reading 'N_steps'=1
TEBDEngine: reading 'order'=4
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
trunc_params: reading 'chi_max'=100
trunc_params: reading 'svd_min'=1e-12
--> time=0.100, max(chi)=8, max(S)=0.01191, avg DeltaS=1.1905e-02, since last update: 0.1s
--> time=0.200, max(chi)=10, max(S)=0.03879, avg DeltaS=2.6873e-02, since last update: 0.0s
--> time=0.300, max(chi)=10, max(S)=0.07571, avg DeltaS=3.6868e-02, since last update: 0.0s
--> time=0.400, max(chi)=15, max(S)=0.12004, avg DeltaS=4.4211e-02, since last update: 0.0s
--> time=0.500, max(chi)=18, max(S)=0.16990, avg DeltaS=4.9653e-02, since last update: 0.0s
--> time=0.600, max(chi)=20, max(S)=0.22377, avg DeltaS=5.3548e-02, since last update: 0.0s
--> time=0.700, max(chi)=20, max(S)=0.28028, avg DeltaS=5.6075e-02, since last update: 0.0s
--> time=0.800, max(chi)=20, max(S)=0.33819, avg DeltaS=5.7328e-02, since last update: 0.0s
--> time=0.900, max(chi)=23, max(S)=0.39626, avg DeltaS=5.7357e-02, since last update: 0.0s
--> time=1.000, max(chi)=24, max(S)=0.45330, avg DeltaS=5.6197e-02, since last update: 0.0s
--> time=1.100, max(chi)=28, max(S)=0.50816, avg DeltaS=5.3886e-02, since last update: 0.0s
--> time=1.200, max(chi)=28, max(S)=0.55973, avg DeltaS=5.0477e-02, since last update: 0.0s
--> time=1.300, max(chi)=29, max(S)=0.60699, avg DeltaS=4.6050e-02, since last update: 0.0s
--> time=1.400, max(chi)=30, max(S)=0.64904, avg DeltaS=4.0711e-02, since last update: 0.0s
--> time=1.500, max(chi)=30, max(S)=0.68512, avg DeltaS=3.4599e-02, since last update: 0.0s
--> time=1.600, max(chi)=32, max(S)=0.71465, avg DeltaS=2.7877e-02, since last update: 0.0s
--> time=1.700, max(chi)=32, max(S)=0.73722, avg DeltaS=2.0734e-02, since last update: 0.0s
--> time=1.800, max(chi)=32, max(S)=0.75266, avg DeltaS=1.3371e-02, since last update: 0.0s
--> time=1.900, max(chi)=32, max(S)=0.76100, avg DeltaS=5.9982e-03, since last update: 0.0s
--> time=2.000, max(chi)=32, max(S)=0.76247, avg DeltaS=-1.1745e-03, since last update: 0.0s
--> time=2.100, max(chi)=32, max(S)=0.75750, avg DeltaS=-7.9441e-03, since last update: 0.0s
--> time=2.200, max(chi)=32, max(S)=0.74668, avg DeltaS=-1.4120e-02, since last update: 0.0s
--> time=2.300, max(chi)=32, max(S)=0.73076, avg DeltaS=-1.9529e-02, since last update: 0.0s
